version,doi,id,v01,v02,v03,v04,v05,v06,v07,v08,v10,v11,v12_01,v12_02,v12_03,v12_04,v12_05,v12_06,v12_07,v12_08,v12_09,v12_10,v12_11,v13,v14,v15,v16,v17,v18,v19,v20,v21
1.0 (2020-12-01),doi:10.11587/XJZPCU,1,1,XXX Bild von Hannes Gschwentner,XXX Bild von Hannes Gschwentner,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,2,2,XXX Bild von Michael Häupl,XXX Bild von Michael Häupl,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,3,3,XXX Bild von Hans Niessl,XXX Bild von Hans Niessl,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,4,4,XXX Bild von Franz Voves,XXX Bild von Franz Voves,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,5,5,XXX Bild von Gabi Burgstaller,XXX Bild von Gabi Burgstaller,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,6,6,XXX Bild von Gaby Schaunig,XXX Bild von Gaby Schaunig,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,7,7,XXX Bild von Erich Haider,XXX Bild von Erich Haider,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,8,8,XXX Bild von Elke Sader,XXX Bild von Elke Sader,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,9,9,XXX Bild von Heidemaria Onodi,XXX Bild von Heidemaria Onodi,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,10,10,Den Wohlstand gerecht verteilen.,SPÖ für gerechte Wohlstandsverteilung,1,1100000,1,0,1,11105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
