"text","cmp_code","eu_code"
"I. Arbeitsplätze für Deutschland",NA,NA
"Deutschland braucht ein geistiges Klima des Aufbruchs",NA,NA
"Deutschland braucht ein geistiges Klima des Aufbruchs, der Zukunftsorientierung und der Risiko- und Leistungsbereitschaft","401",NA
"Dieses geistige Klima zu schaffen, ist eine Aufgabe der Politik und Gesellschaft insgesamt","401",NA
"Die notwendigen Reformen verlangen von allen Bereitschaft zur Veränderung und zum Verzicht auf liebgewonnene Besitzstände","408",NA
"Die F.D.P ist die politische Kraft, die die notwendigen Veränderungen ehrlich anspricht und dem Wettbewerb der nicht finanzierbaren politischen Versprechungen eine Absage erteilt","305",NA
"Die F.D.P appelliert an alle Kräfte, an alle Gruppen, an alle Menschen, die die gesellschaftliche Entwicklung in unserem Lande prägen","606",NA
"Gemeinsam wollen wir- bei neuen Entwicklungen, neuen Technologien in erster Linie die Chancen sehen, nicht die Risiken,","411",NA
"- uns von Mut und Wandel leiten lassen, nicht von Lähmung,","408",NA
"- Hoffnung und Optimismus ausstrahlen, nicht Ängste und Sorgen","000",NA
"Deutschland braucht marktwirtschaftliche Erneuerung für Arbeitsplätze",NA,NA
"Für Arbeitsplätze braucht Deutschland marktwirtschaftliche Erneuerung vom Kopf bis zum Fuß","401",NA
"Die Bürger wissen, daß ein bißchen Flickwerk hier und da nicht reicht, wenn ein gewaltiger Staatsapparat und eine wuchernde Sozialbürokratie vom mittleren Einkommen die Hälfte und mehr auffressen","303",NA
"Wenn jede zweite Mark durch die Hände des Staates geht, dann ist das zuviel bürokratische Staatswirtschaft und zuwenig soziale Marktwirtschaft","401",NA
"Arbeitslosigkeit ist ein schweres Schicksal","701",NA
"Die sozialste Politik ist es, Arbeitsplätze zu schaffen","701",NA
"In Deutschland gibt es keinen Mangel an Arbeit, aber einen Mangel an bezahlbaren Arbeitsplätzen","701",NA
"Verantwortung für den Erhalt von Arbeitsplätzen und das Entstehen neuer Arbeitsplätze trägt nicht der Staat allein, sondern die Tarifpartner, die über Lohnkosten und tarifliche Lohnzusatzkosten maßgeblich die Kosten des Faktors Arbeit bestimmen","405",NA
"Der Staat trägt Verantwortung für die Steuerlast und die hohen gesetzlichen Lohnzusatzkosten","408",NA
"Auch bürokratische Verfahren und Überregulierungen verhindern mehr Investitionen und vertreiben Arbeitsplätze aus Deutschland","303",NA
"1998 geht es um eine Richtungsentscheidung: Fährt Deutschland mit der Abgabenbelastung des Wohlfahrtsstaats auf ausgefahrenen Schienen ins Abseits?","505",NA
"Oder fährt Deutschland mit einem liberalen Sozialstaat in eine gute Zukunft?","505",NA
"Die F.D.P hat als einzige Partei den Mut zu marktwirtschaftlicher Erneuerung:","401",NA
"zu Sozialer Marktwirtschaft anstelle bürokratischer Staatswirtschaft,","401",NA
"zu weniger Steuern und Abgaben anstelle mehr staatlicher Ausgaben,","401",NA
"zu mehr persönlicher Freiheit und Verantwortung anstelle der Verstaatlichung von Verantwortung","401",NA
"Mehr Chancen auf eine gute Ausbildung und einen sicheren Arbeitsplatz schafft vor allem der Mittelstand","704",NA
"Er allein steht für rund 80 % unserer heutigen Arbeitsplätze","704",NA
"Deswegen ist der Mittelstand, sind Freie Berufe, Handwerker, Selbständige das Rückgrat unserer Wirtschaft","704",NA
"Mit der Wende zur marktwirtschaftlichen Erneuerung nach 1982 haben wir Liberale bewiesen, was marktwirtschaftliche Reformen für mehr Arbeitsplätze leisten","401",NA
"Im Westen Deutschlands wurden damals dadurch 3 Millionen zusätzliche Arbeitsplätze geschaffen","701",NA
"Heute ist die F.D.P erneut die einzige Partei, die die wohlfahrtsstaatlichen Verkrustungen durch Steuerentlastung, Steuerehrlichkeit, Steuergerechtigkeit, weniger Sozialabgaben und mehr eigenverantwortliche Vorsorge der Bürger aufbrechen will","505",NA
"Arbeit für alle ist dann nicht mehr Utopie, sondern wird Realität einer Sozialen Marktwirtschaft, die ihren internationalen Ehrennamen wieder verdient","401",NA
"Deutschland hat alle Chancen für gutbezahlte Arbeitsplätze","701",NA
"und einen Sozialstaat, der wieder verläßlicher wird","504",NA
"Denn wo immer die Deutschen nicht durch hohe Steuerlast, hohe Sozialabgaben und bürokratische Erstarrung ausgebremst oder gar entmutigt werden, sind sie zur Leistung bereit, flexibel und innovativ","401",NA
"Deutschland braucht Leistung, Flexibilität und Innovation",NA,NA
"1.Steuersenkung für Arbeitsplätze",NA,NA
"Unser Ziel für die kommende Legislaturperiode ist eine durchgreifende, marktwirtschaftliche Steuerreform zum frühestmöglichen Zeitpunkt","303",NA
"Im Zeitalter der Globalisierung ist die Steuerreform ein Schlüsselprojekt für mehr Investitionen","410",NA
"und Arbeitsplätze","701",NA
"und auch für gesunde Staatsfinanzen","414",NA
"Die Probleme des 21. Jahrhunderts können mit unserem antiquierten Steuersystem nicht gelöst werden","303",NA
"Die Folgen: - Unser Steuersystem ist unfair und ungerecht","503",NA
"Es belastet gleichhohe Einkommen unterschiedlich hoch","503",NA
"Verantwortlich dafür sind die zahlreichen steuerlichen Sonderregelungen","303",NA
"Von vielen Menschen können diese kaum genutzt werden","303",NA
"So finanziert der Durchschnittssteuerzahler die Steuervergünstigungen zur Milderung der zu hohen Steuersätze","503",NA
"- Steuerliche Subventionen hatten bei ihrer Einführung allenfalls den Sinn, gesellschaftlich oder wirtschaftlich wünschenswerte Ziele zu verwirklichen","408",NA
"Inzwischen sind sie aber so ausgeufert, daß das Steueraufkommen in den letzten Jahren weit hinter den Erwartungen zurückgeblieben ist","414",NA
"Die Steuereinnahmen sind nicht mehr kalkulierbar","414",NA
"Viele steuerliche Subventionen haben sogar zu Kapitalfehlleitungen geführt","408",NA
"- Unsere Steuersätze sind leistungsfeindlich hoch","401",NA
"Sie bestrafen die arbeitenden Bürgerinnen und Bürger, die Innovation und das Sparen","401",NA
"Steuervergünstigungen geben Anreize, nach Möglichkeiten der Steuerersparnis aller Art zu suchen, statt Kreativität und Fleiß voll auf Märkte und Arbeitsplätze zu konzentrieren: Energien werden dadurch fehlgeleitet","401",NA
"Die hohen Steuersätze benachteiligen unsere Wirtschaft im internationalen Wettbewerb","401",NA
"Sie fördern das Abwandern von Betrieben und Arbeitsplätzen ins Ausland","401",NA
