"text","cmp_code","eu_code"
"Grün wirkt!",NA,NA
"Unser Wahlprogramm",NA,NA
"2002 – 2006",NA,NA
"Präambel",NA,NA
"BÜNDNIS 90/DIE GRÜNEN sind die Partei der ökologischen Modernisierung,","416",NA
"der sozialen und wirtschaftlichen Erneuerung","503",NA
"und der gesellschaftlichen Demokratisierung.","202",NA
"Wir stehen für eine aktive und präventive Friedenspolitik, die die internationalen Zusammenhänge beachtet.","106",NA
"Wir sind die Partei der europäischen Demokratie.","202",NA
"Wir wollen die Globalisierung sozial gerecht und umweltverträglich gestalten.","403",NA
"Wir haben seit unserer Gründung viel Bewegung in unser Land gebracht.","305",NA
"Wir haben ökologische Verantwortung","501",NA
"und den Gedanken der Nachhaltigkeit in der Gesellschaft verankert.","416",NA
"Unsere Gesellschaft ist weltoffener,","602",NA
"unsere Demokratie ist lebendiger","202",NA
"und Bürgerrechte sind gestärkt worden.","201",NA
"Die Gleichstellung zwischen Frauen und Männern hat durch uns deutliche Fortschritte erlebt.","503",NA
"Mit der Regierungsbeteiligung 1998 haben wir Verantwortung übernommen","305",NA
"und konnten den Reformstau der Regierung Kohl in vielen Punkten auflösen:","305",NA
"Atomausstieg,","501",NA
"Energiewende und","501",NA
"Klimaschutz,","501",NA
"Einstieg in die Neue Landwirtschaft,","703",NA
"Stärkung der Verbraucherrechte,","403",NA
"das neue Staatsbürgerschaftsrecht,","202",NA
"das Gesetz zur Teilzeitarbeit,","701",NA
"das Gleichstellungsgesetz für Menschen mit Behinderungen,","503",NA
"die internationale Stärkung der Menschenrechte,","201",NA
"das Gewaltschutzgesetz,","605",NA
"die eingetragenen Partnerschaften für Schwule und Lesben,","705",NA
"Haushaltskonsolidierung,","414",NA
"Kindergelderhöhung","504",NA
"und Rentenreform.","303",NA
"BÜNDNIS 90/ DIE GRÜNEN waren der Reformmotor der letzten vier Jahre.","305",NA
"Wir verbinden Ökologie,","501",NA
"Selbstbestimmung,","201",NA
"erweiterte Gerechtigkeit","503",NA
"und lebendige Demokratie.","202",NA
"Mit gleicher Intensität treten wir ein für Gewaltfreiheit","106",NA
"und Menschenrechte.","201",NA
"In ihrer Wechselbeziehung bilden diese Grundwerte den Kern des bündnisgrünen Politikverständnisses.","305",NA
"Der Wert der Ökologie verpflichtet uns zur nachhaltigen Bewahrung der natürlichen Lebensgrundlagen.","501",NA
"Wir arbeiten für eine Gesellschaft, in der die Menschen eine konkrete Chance haben, ihr Leben selbst zu gestalten – in Selbstbestimmung, frei von Bevormundung.","201",NA
"Als eine dem Wert der Gerechtigkeit verpflichtete Partei kämpfen wir für die sozialen Rechte der Schwächsten und eine gerechte Verteilung der gesellschaftlichen Güter.","503",NA
"Unsere Vorstellung von erweiterter Gerechtigkeit geht allerdings über traditionelle Verteilungspolitik hinaus.","503",NA
"Grüne Politik steht auch für Teilhabe an Arbeit, Bildung und Demokratie,","503",NA
"für Generationengerechtigkeit,","503",NA
"für Geschlechtergerechtigkeit","503",NA
"und für Internationale Gerechtigkeit.","107",NA
"Als eine der Demokratie verpflichtete Partei setzen wir uns ein für starke Bürgerrechte,","201",NA
"ein demokratisches Europa","202",NA
"und die Stärkung der Parlamente.","202",NA
"Bei der nächsten Bundestagswahl entscheiden Sie über die Grundausrichtung der deutschen Politik.","305",NA
"Einer „Deutschen Leitkultur“ der Union","607",NA
"mit einem überkommenen Rollenverständnis von Mann und Frau","604",NA
"stellen wir eine Haltung der Generationen- und Geschlechtergerechtigkeit entgegen.","503",NA
"Wir brauchen eine Politik, die der Vielfalt der Lebensformen gerecht wird.","201",NA
"Wir wollen eine aktive Reformpolitik zugunsten des Lebens mit Kindern.","706",NA
"Gegen Stoibers Ausgrenzungspolitik stellen wir die Vision einer weltoffenen und multikulturellen Demokratie.","607",NA
"BÜNDNIS 90/DIE GRÜNEN stehen für Integration.","608",NA
"Der neoliberalen Diskriminierung sozial Schwacher durch die FDP halten wir eine sozial gerechte Politik entgegen.","503",NA
