"text","cmp_code","eu_code"
"Programm der PDS zur Bundestagswahl 1998",NA,NA
"Für den politischen Richtungswechsel",NA,NA
"Sozial und solidarisch - für eine gerechte Republik",NA,NA
"Die Zeit ist reif","000",NA
"In den vergangenen anderthalb Jahrzehnten haben sich die Probleme der Bundesrepublik zunehmend verschärft","000",NA
"Mehr als sieben Millionen Arbeitslose, Zehntausende fehlende Ausbildungsplätze, Millionen Menschen in ungesicherten Arbeitsverhältnissen, schwer angeschlagene Renten- und Krankenversicherungen, desolate öffentliche Haushalte, eine tiefe Kluft zwischen Ost- und Westdeutschland, zwischen Menschen mit deutschem Paß und ohne ihn - das ist die Bilanz der Regierung Kohl","305",NA
"Die gesellschaftliche Realität hat sich weit vom Anspruch des Grundgesetzes entfernt","203",NA
"Die Chance zur umfassenden gesellschaftlichen Erneuerung in Ost und West, die der Umbruch der Jahre 1989/90 eröffnet hatte, wurde wissentlich verspielt","305",NA
"Weder eine höhere Macht noch der Beitritt der DDR zur BRD haben zu dieser Misere geführt, sondern die neoliberale Politik von CDU/CSU und FDP","305",NA
"Ihre Regierungsmacht muß beendet werden","305",NA
"Eine lebenswerte Zukunft braucht eine soziale, ökologische, ökonomische und geistige Erneuerung der Gesellschaft","606",NA
"Dafür tritt die PDS an","606",NA
"Sie will einen grundsätzlichen Politikwechsel, nicht nur eine andere Regierung","305",NA
"Sie ist konsequente Opposition gegen den herrschenden Neoliberalismus","415",NA
"Die PDS setzt der konservativen Politik parlamentarisch und außerparlamentarisch Widerstand entgegen und engagiert sich für Alternativen","304",NA
"Die PDS ist die sozialistische Partei der Bundesrepublik","415",NA
"Sie nimmt in den sozialen und politischen Auseinandersetzungen radikaldemokratische und antikapitalistische Positionen ein","415",NA
"Die Vorherrschaft von Kapital und Profitorientierung in der Gesellschaft betrachtet die PDS als die entscheidende Ursache der gesellschaftlichen und globalen Krisen","415",NA
"Menschliches Überleben, eine soziale, ökologische und kulturelle Perspektive verlangen gebieterisch weitreichenden gesellschaftlichen Wandel","415",NA
"Die Kapitaldominanz über die gesellschaftliche Entwicklung zurückzudrängen ist dafür unerläßlich","415",NA
"Unser Ziel bleibt der demokratische Sozialismus - eine Gesellschaft, in der die freie Entwicklung des Einzelnen zur Bedingung der freien Entwicklung aller geworden ist","415",NA
"Durch die Politik der Kohl-Regierung sind absurde Verhältnisse entstanden:","305",NA
"Steigende Arbeitsproduktivität mehrt in der heutigen Gesellschaft in bisher ungeahnter Dimension den Reichtum","415",NA
"Zugleich nehmen Armut, Ungerechtigkeit, Massenarbeitslosigkeit und Ausgrenzung zu","503",NA
"Die soziale Lage verschärft sich bedrohlich","503",NA
