"text","cmp_code","eu_code"
"ERNEUERUNG UND ZUSAMMENHALT –",NA,NA
"WIR IN DEUTSCHLAND",NA,NA
"PRÄAMBEL",NA,NA
"Wir haben mit unserer Politik der Mitte die Erneuerung in Deutschland begonnen:","305",NA
"Und wir wollen sie fortsetzen","305",NA
"und den Zusammenhalt sichern.","606",NA
"Diese vier Jahre haben sich gelohnt für unser Land.","305",NA
"Der Reformstau ist aufgelöst.","305",NA
"Deutschland ist in Bewegung gekommen.","305",NA
"Unser Land ist wirtschaftlich robuster, moderner, gerechter und weltoffener geworden.","305",NA
"Der Stillstand ist überwunden.","305",NA
"Diese Politik der sozialen","503",NA
"und ökologischen Modernisierung bleibt richtig.","501",NA
"Denn die Herausforderungen von heute und morgen sind nicht mit Rezepten von gestern und vorgestern zu meistern.","305",NA
"Deutschland braucht die Politik der Erneuerung und des Zusammenhalts.","305",NA
"Das ist unsere Politik der Mitte.","305",NA
"Wir hatten Innovation.","411",NA
"und Gerechtigkeit versprochen","503",NA
"Wir haben Wort gehalten.","305",NA
"Das gilt auch für die Zukunft.","305",NA
"Wir sagen, was wir tun und wir tun, was wir sagen.","305",NA
"Deshalb gibt es bei uns keine unerfüllbaren Versprechungen.","305",NA
"Manches Wünschenswerte ist nicht machbar, mindestens nicht sofort.","305",NA
"Wir haben Sicherheit im Wandel und Sicherheit durch Wandel gefordert und dies bleibt Orientierung für unsere Politik:","305",NA
"Wir wollen Deutschlands Rolle in Europa und in der Welt gerecht werden,","601",NA
"Wir wollen das bewährte Sozialstaatsmodell nachhaltig fortentwickeln,","504",NA
"Wohlstand sichern,","408",NA
"Beschäftigung für alle erreichen,","408",NA
"eine gesunde Umwelt garantieren.","501",NA
"Und wir wollen eine lebendige Demokratie ermöglichen, mit einer freien und offenen Kultur.","202",NA
"Die Richtung stimmt.","305",NA
"Wir werden den Weg weitergehen.","305",NA
"Deutschland ist ein starkes Land, es hat alle Chancen.","601",NA
"Vertrauen in Bundeskanzler Gerhard Schröder",NA,NA
"Gerhard Schröder hat als Bundeskanzler mit neuen politischen Ideen und mit neuem politischen Stil Deutschland erfolgreich ins neue Jahrhundert geführt.","305",NA
"Er ist mit Leidenschaft in der Sache und mit Augenmaß seiner Verantwortung gerecht geworden.","305",NA
"Gerhard Schröder sucht den gesellschaftlichen Konsens und er führt entschieden.","305",NA
"Er macht Mut und hat Zuversicht in die Gestaltbarkeit der Zukunft.","305",NA
"Er zeigt, dass er das Leben mag.","305",NA
"Er stellt sich Herausforderungen.","305",NA
"Gerhard Schröder macht gute Arbeit für unser Land.","305",NA
"Er genießt Vertrauen.","305",NA
"Und es gibt noch viel zu tun.","305",NA
"Gerhard Schröder muss Bundeskanzler unseres Landes bleiben.","305",NA
"Die deutsche Sozialdemokratie in der Mitte der Gesellschaft",NA,NA
"Wir leben in Zeiten des Wandels.","000",NA
"Die Herausforderungen von heute und morgen sind nicht mit Rezepten von gestern zu meistern.","305",NA
"In den letzten vier Jahren haben wir mit der Auflösung des Reformstaus begonnen.","305",NA
"Diese Politik der sozialen Modernisierung werden wir fortsetzen.","305",NA
"Die Menschen verlangen nach Orientierung und Sicherheit im Wandel.","606",NA
"Daher wird die Bundestagswahl auch eine Entscheidung über die Prägung unserer Gesellschaft am Beginn des 21. Jahrhunderts sein.","305",NA
"Es geht um grundlegende Alternativen:","305",NA
"um sinnvolle Regeln für die Globalisierung der Wirtschaft oder sich selbst überlassene Märkte;","403",NA
"um sozialen Zusammenhalt oder Polarisierung der Gesellschaft;","503",NA
"um eine moderne Familienpolitik oder ein Zurück zur Ausgrenzung der Frauen aus dem Erwerbsleben;","503",NA
"um eine liberale und weltoffene Politik oder nationalistische Engstirnigkeit;","602",NA
"um Konsolidierung der öffentlichen Haushalte oder ungedeckte Schecks auf die Zukunft;","414",NA
"um Vorrang für Qualifizierung und Aktivierung für den Arbeitsmarkt oder bloße Verwaltung der Arbeitslosigkeit.","411",NA
"Deutschland braucht auch weiterhin den Mut zu Veränderung und Erneuerung.","411",NA
"Dafür wollen wir auch in der kommenden Zeit die politische Verantwortung in Deutschland tragen.","305",NA
"Für eine soziale","503",NA
"und demokratische Politik.","202",NA
"Erneuerung",NA,NA
"Die Investitionen in Bildung und Forschung steigen deutlich.","506",NA
"Wer morgen ernten will, muss heute säen.","506",NA
"Wir denken nicht nur von Wahltag zu Wahltag.","305",NA
"Wir setzen auf Nachhaltigkeit.","416",NA
"Deshalb hat auch die Konsolidierung der Staatsfinanzen ein so großes Gewicht in unserer Politik;","414",NA
"der Marsch in den Schuldenstaat ist beendet.","414",NA
"Ab 2006 kommen keine neuen Schulden mehr hinzu.","414",NA
"Das JUMP-Programm für die Jungen, die Ausbildung brauchen,","504",NA
"und die staatlich geförderte kapitalgedeckte Altersvorsorge - das sind Beispiele für gelungene Erneuerung.","505",NA
"Sie weisen in die Zukunft.","305",NA
"Der Generationenvertrag gilt.","606",NA
"Unbürokratisch dafür sorgen, dass rechtzeitig qualifiziert und zielgerichtet vermittelt wird – darauf kommt es an.","303",NA
"Mit dem Job-AQTIV-Gesetz und der Neugestaltung der Bundesanstalt für Arbeit haben wir den Arbeitsmarkt verstärkt in die Erneuerung einbezogen.","303",NA
"Wir haben eine Energiepolitik begonnen, die – auf der Grundlage eines belastbaren Energiemix - stärker erneuerbare Energien berücksichtigt,","404",NA
"Sparpotentiale nutzt","501",NA
"und den Ausstieg aus der Kernenergie durchsetzt.","501",NA
"Wir haben wesentliche Schritte zur Verwirklichung der Gleichstellung von Männern und Frauen in Beruf und Gesellschaft unternommen.","503",NA
"Diesen Weg wollen wir fortsetzen.","305",NA
"Und wir haben die Familie in den Mittelpunkt der Politik gerückt, materiell und ideell.","603",NA
"Denn Familie ist wichtig für die Entwicklungschancen der Kinder.","603",NA
"Jetzt ist die Betreuung der Kinder im Schulalter vordringlich.","504",NA
"Der Ganztagsschule und ihrem Ausbau kommt dabei große Bedeutung zu - auch für die Vereinbarkeit von Familie und Beruf.","506",NA
"Im Interesse der Mütter und im Interesse unserer Volkswirtschaft, die auf Wissen und Kreativität der Frauen angewiesen ist.","503",NA
"Zusammenhalt",NA,NA
"Die Steuerreform senkt den Eingangssteuersatz von 25,9 % in 1998 auf 15 % im Jahr 2005 und hebt den Grundfreibetrag deutlich an.","701",NA
"2003 gibt es die nächste Steuersenkung.","701",NA
"Das gilt für alle Einkommensgruppen bis hin zum Spitzensteuersatz in gleicher Weise.","701",NA
"Das hilft auch den kleinen und mittleren Unternehmen.","402",NA
"Durch unsere umfassenden Steuerreformen 1998 – 2005 bleiben insgesamt rd. 41 Mrd. € mehr auf den privaten Konten, wandern nicht zum Finanzamt.","701",NA
"Die Lohnfortzahlung im Krankheitsfall","701",NA
"und der generelle Kündigungsschutz wurden wieder eingeführt","701",NA
"und die betriebliche Mitbestimmung ausgebaut.","701",NA
"Arbeitgeber und Arbeitnehmer sollen sich in gleicher Augenhöhe begegnen.","701",NA
"Auch in Zukunft.","701",NA
"Eine große Leistung dieser Legislaturperiode ist das neue Recht für behinderte Menschen, ein Fortschritt, der überfällig war.","705",NA
"Aber in der Praxis gibt es auch hier noch viel zu tun.","305",NA
"Die von uns gesetzlich geregelte Anerkennung gleichgeschlechtlicher Lebenspartnerschaften vollzieht nach, was in der gesellschaftlichen Wirklichkeit längst akzeptiert ist.","604",NA
